acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode_feat,speechiness,tempo,valence,time_signature_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,target
0.2,0.6809999999999999,208120.0,0.314,9.82e-06,0.1,-9.318999999999999,1.0,0.0581,139.99200000000002,0.166,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
0.0219,0.442,218000.0,0.8959999999999999,0.0,0.38299999999999995,-4.6160000000000005,1.0,0.079,155.04399999999995,0.573,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5
0.00434,0.5589999999999999,217000.0,0.9229999999999999,5.77e-06,0.115,-5.682,1.0,0.0603,144.97799999999995,0.44799999999999995,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6
0.11199999999999999,0.45299999999999996,191963.0,0.703,0.142,0.436,-8.09,0.0,0.0349,97.99799999999999,0.205,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4
0.127,0.628,219760.0,0.679,2.75e-05,0.374,-4.114,1.0,0.0365,98.01799999999999,0.5539999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.000472,0.426,327960.0,0.865,0.0,0.385,-4.1530000000000005,1.0,0.0411,123.06,0.311,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5
0.0763,0.757,219320.0,0.882,0.0,0.251,-6.125,1.0,0.248,140.047,0.684,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
0.00212,0.591,220707.0,0.943,5.6399999999999995e-05,0.113,-3.43,0.0,0.0316,135.017,0.835,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4
0.017,0.877,265600.0,0.71,0.0,0.1,-7.058,1.0,0.139,95.83200000000001,0.51,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
0.00645,0.648,177250.0,0.8590000000000001,0.0282,0.135,-4.974,1.0,0.111,128.03,0.633,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.0116,0.621,317360.0,0.583,0.0,0.115,-10.127,0.0,0.0345,137.534,0.452,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0022,0.474,248053.0,0.8190000000000001,0.0014199999999999998,0.20199999999999999,-7.599,1.0,0.0376,145.071,0.59,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
0.159,0.365,242187.0,0.733,0.00044,0.28800000000000003,-5.8660000000000005,1.0,0.0483,139.877,0.145,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5
0.243,0.652,294867.0,0.473,0.0,0.134,-7.981,0.0,0.0313,123.208,0.368,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.33299999999999996,0.7559999999999999,296787.0,0.738,0.00028399999999999996,0.14300000000000002,-8.629,0.0,0.0478,128.961,0.848,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.10400000000000001,0.782,196173.0,0.731,0.0,0.11900000000000001,-4.904,1.0,0.35600000000000004,77.934,0.7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
0.000469,0.546,159853.0,0.9470000000000001,0.000895,0.10400000000000001,-3.923,1.0,0.0407,116.53200000000001,0.21600000000000005,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
0.23600000000000002,0.746,299440.0,0.809,2.59e-05,0.235,-6.428999999999999,1.0,0.0329,104.98899999999999,0.493,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
0.257,0.8,192422.0,0.618,0.00121,0.0991,-6.349,0.0,0.0631,149.991,0.75,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
0.9,0.589,231213.0,0.298,1.66e-05,0.11199999999999999,-10.584000000000001,0.0,0.0393,134.666,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
0.00366,0.5920000000000001,214373.0,0.8909999999999999,0.0,0.10800000000000001,-3.446,1.0,0.0303,105.77799999999999,0.532,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5
0.0732,0.622,168000.0,0.68,0.0,0.0772,-3.622,1.0,0.0402,105.1,0.46299999999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7
0.0995,0.6,178360.0,0.85,0.122,0.0997,-3.5439999999999996,1.0,0.0459,143.173,0.6709999999999999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5
0.0224,0.8270000000000001,152862.0,0.6579999999999999,0.0,0.0417,-3.846,1.0,0.0517,115.016,0.523,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.111,0.498,246933.0,0.9359999999999999,0.0115,0.0594,-7.246,1.0,0.0877,181.97299999999998,0.461,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5
7.43e-05,0.41600000000000004,230560.0,0.748,0.0,0.0995,-4.83,1.0,0.0487,150.094,0.792,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0.000269,0.602,196875.0,0.965,0.00202,0.0859,-0.9590000000000001,1.0,0.07400000000000001,128.14,0.215,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7
0.11800000000000001,0.42200000000000004,354320.0,0.8140000000000001,5.3e-06,0.115,-7.365,1.0,0.195,147.065,0.41100000000000003,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
0.565,0.48700000000000004,252056.0,0.8590000000000001,0.0,0.344,-3.45,0.0,0.435,175.662,0.73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
0.00826,0.409,229738.0,0.718,0.00014,0.122,-7.9670000000000005,1.0,0.0272,111.462,0.647,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5
0.115,0.785,227560.0,0.47600000000000003,0.00165,0.092,-9.805,1.0,0.115,118.931,0.223,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
0.262,0.9,223573.0,0.733,1.35e-06,0.282,-7.178,1.0,0.316,98.06200000000001,0.679,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
0.322,0.405,291253.0,0.253,0.0758,0.121,-10.494000000000002,0.0,0.0361,105.105,0.12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
0.0111,0.498,207533.0,0.622,0.0,0.12300000000000001,-7.622000000000001,0.0,0.263,82.348,0.479,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
0.0495,0.669,198261.0,0.914,0.00967,0.24,-6.034,0.0,0.0373,115.02,0.539,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6
0.0698,0.706,231093.0,0.727,5.31e-06,0.115,-8.06,1.0,0.0317,92.93799999999999,0.903,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.0943,0.8009999999999999,220800.0,0.491,9.350000000000001e-05,0.193,-9.088,1.0,0.0543,125.04899999999999,0.8220000000000001,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
0.0036799999999999997,0.604,192987.0,0.5329999999999999,0.314,0.285,-8.856,1.0,0.0256,140.064,0.18600000000000005,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
0.18899999999999997,0.542,213871.0,0.665,0.0,0.0934,-5.212999999999999,1.0,0.0692,183.93900000000002,0.469,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6
0.82,0.3720000000000001,241240.0,0.444,7.28e-05,0.141,-9.036,1.0,0.0295,162.3,0.35700000000000004,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
0.579,0.503,207030.0,0.741,1.49e-06,0.0712,-5.127999999999999,1.0,0.047,88.335,0.45799999999999996,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.513,0.563,248253.0,0.606,0.0391,0.132,-8.158999999999999,1.0,0.0267,150.0,0.425,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
0.22699999999999998,0.551,295067.0,0.852,9.84e-06,0.276,-3.446,1.0,0.161,147.001,0.436,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
0.0223,0.638,207627.0,0.6990000000000001,0.0,0.0917,-5.54,0.0,0.384,92.939,0.66,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
0.028999999999999998,0.598,229120.0,0.792,0.0,0.0523,-3.832,1.0,0.0323,105.00200000000001,0.5589999999999999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4
0.027999999999999997,0.605,237027.0,0.6729999999999999,0.0369,0.11900000000000001,-9.516,0.0,0.0655,108.81200000000001,0.467,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0.00415,0.579,191267.0,0.735,0.0,0.23800000000000002,-6.558,1.0,0.0289,105.022,0.228,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7
0.12300000000000001,0.584,194526.0,0.789,0.0,0.195,-3.762,1.0,0.121,95.01299999999999,0.425,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7
0.00337,0.5479999999999999,166800.0,0.767,1.76e-05,0.18100000000000002,-4.092,0.0,0.0609,99.976,0.302,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
0.00125,0.8109999999999999,190679.0,0.65,0.0,0.102,-4.41,1.0,0.128,146.028,0.179,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
0.6659999999999999,0.579,191507.0,0.456,0.00049,0.0674,-7.5020000000000024,1.0,0.0331,133.031,0.364,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
0.000478,0.612,216253.0,0.89,0.0,0.0672,-2.827,0.0,0.047,118.98899999999999,0.8859999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6
0.373,0.779,178920.0,0.6609999999999999,0.0351,0.0671,-7.619,1.0,0.092,100.066,0.755,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6
0.0903,0.767,165981.0,0.809,5.14e-06,0.111,-4.379,1.0,0.0436,107.001,0.742,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7
0.183,0.636,286097.0,0.738,0.0649,0.131,-5.638,1.0,0.0308,99.97200000000001,0.324,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
0.0542,0.79,210628.0,0.6409999999999999,0.0,0.147,-6.94,1.0,0.153,129.997,0.515,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
0.122,0.5760000000000001,223520.0,0.698,0.198,0.11699999999999999,-8.011000000000001,1.0,0.035,95.978,0.698,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
0.0522,0.723,224133.0,0.669,0.192,0.109,-6.784,1.0,0.0348,125.051,0.35,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
